id,centre_type,coordinates,country,region,county,postcode
,Hospital,SRID=4326;POINT (-2.765808983475347 52.26312620363503),United Kingdom,West Midlands (England),"Herefordshire, County of",HR6 0BZ
,Drive through centre,SRID=4326;POINT (-1.639463220948265 52.51333553657086),United Kingdom,West Midlands (England),Warwickshire,B46 2LA
,Drive through centre,SRID=4326;POINT (-0.414590441618552 52.7757240085823),United Kingdom,East Midlands (England),Lincolnshire,PE10 0LG
,GP clinic,SRID=4326;POINT (-1.850937277764161 52.72123809823233),United Kingdom,West Midlands (England),Staffordshire,WS13 8HH
,Drive through centre,SRID=4326;POINT (-7.466080814042209 54.72526946753334),United Kingdom,Northern Ireland,Derry City and Strabane,BT78 4LT
,Other,SRID=4326;POINT (-5.852627833209607 56.64187271417602),United Kingdom,Scotland,Highland,PA80 5XF
,Hospital,SRID=4326;POINT (-2.163193159688249 54.37214086747876),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL11 6DW
,GP clinic,SRID=4326;POINT (-3.027915828010679 56.47479815056322),United Kingdom,Scotland,Dundee City,DD2 4UL
,GP clinic,SRID=4326;POINT (-1.331008206234616 50.97393343632543),United Kingdom,South East (England),Hampshire,SO50 6BY
,Other,SRID=4326;POINT (0.3076619389513802 51.94834430359098),United Kingdom,East of England,Essex,CM6 2QB
,Home,SRID=4326;POINT (0.8921091120190692 52.8158180579169),United Kingdom,East of England,Norfolk,NR21 7AL
,Drive through centre,SRID=4326;POINT (-5.246764348951684 57.2147199333922),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-2.039793563988198 53.98795426114577),United Kingdom,Yorkshire and The Humber,North Yorkshire,BD23 3LB
,Drive through centre,SRID=4326;POINT (-4.968142606219613 56.28126977945622),United Kingdom,Scotland,Argyll and Bute,
,Hospital,SRID=4326;POINT (-5.031788995093205 57.04572408090077),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (0.2843507765983198 51.1311846978251),United Kingdom,South East (England),Kent,TN2 3QN
,Drive through centre,SRID=4326;POINT (-1.728635745200182 50.73665960770529),United Kingdom,South West (England),"Bournemouth, Christchurch and Poole",BH23 4ES
,Hospital,SRID=4326;POINT (-5.324804806279374 57.05341099649853),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (0.6837025220913642 52.10611000293065),United Kingdom,East of England,Suffolk,CO10 9AW
,Hospital,SRID=4326;POINT (-3.43355625996289 52.88431300038207),United Kingdom,Wales,Denbighshire,LL21 0TE
,GP clinic,SRID=4326;POINT (-5.103344133525781 58.16959987873945),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-5.034683558896705 58.0004838179308),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-3.310190468195047 58.49911145906269),United Kingdom,Scotland,Highland,KW1 5UW
,Drive through centre,SRID=4326;POINT (-2.543598164060161 56.653095462785),United Kingdom,Scotland,Angus,DD11 4UY
,Home,SRID=4326;POINT (-0.4038810561532298 51.59716817332054),United Kingdom,London,Hillingdon,HA5 2DP
,GP clinic,SRID=4326;POINT (-4.778713164490894 55.08808470437454),United Kingdom,Scotland,South Ayrshire,KA26 0QF
,GP clinic,SRID=4326;POINT (-0.7420934722189481 52.4003494484493),United Kingdom,East Midlands (England),Northamptonshire,NN16 8UF
,Hospital,SRID=4326;POINT (-3.088787369107532 55.62796300419926),United Kingdom,Scotland,Scottish Borders,EH44 6RD
,Hospital,SRID=4326;POINT (-4.172896991083745 56.15242424556065),United Kingdom,Scotland,Stirling,FK8 3QT
,GP clinic,SRID=4326;POINT (-3.971324571352832 52.33565617819263),United Kingdom,Wales,Ceredigion,SY23 4AT
,GP clinic,SRID=4326;POINT (-2.08325268351362 55.40631573110463),United Kingdom,North East (England),Northumberland,NE66 4UF
,GP clinic,SRID=4326;POINT (-4.677792074597045 54.94157982704025),United Kingdom,Scotland,Dumfries and Galloway,DG8 0ET
,GP clinic,SRID=4326;POINT (-2.216065543610816 54.77877208170722),United Kingdom,North East (England),County Durham,DL13 1AA
,Drive through centre,SRID=4326;POINT (-3.635620973139396 56.34691057516306),United Kingdom,Scotland,Perth and Kinross,PH3 1HZ
,Drive through centre,SRID=4326;POINT (-2.023715998238893 51.84858835611955),United Kingdom,South West (England),Gloucestershire,GL53 9FE
,Home,SRID=4326;POINT (-3.945248625318365 57.44870208336039),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-2.998952869918406 51.54054826258503),United Kingdom,Wales,Newport,NP10 8SF
,Drive through centre,SRID=4326;POINT (-3.728905781918883 55.55770859521814),United Kingdom,Scotland,South Lanarkshire,
,Hospital,SRID=4326;POINT (-0.8866579020489649 52.06235604632867),United Kingdom,East Midlands (England),Northamptonshire,NN12 7QT
,Other,SRID=4326;POINT (-4.052793801740946 55.41328071953513),United Kingdom,Scotland,Dumfries and Galloway,DG4 6NW
,Other,SRID=4326;POINT (-4.609737156417633 58.0946630834501),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-2.11065099900279 52.88339958468842),United Kingdom,West Midlands (England),Staffordshire,ST18 0DT
,Drive through centre,SRID=4326;POINT (-3.684178718548504 54.99215422609959),United Kingdom,Scotland,Dumfries and Galloway,DG2 8EA
,Drive through centre,SRID=4326;POINT (-0.6651186944842191 54.05055747206199),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO17 9TE
,Other,SRID=4326;POINT (-2.592887871643237 57.2497126468017),United Kingdom,Scotland,Aberdeenshire,AB51 7JL
,Drive through centre,SRID=4326;POINT (-3.716132688734661 58.30846971415399),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-2.022115853244815 57.34331175436198),United Kingdom,Scotland,Aberdeenshire,AB41 8LQ
,Hospital,SRID=4326;POINT (-1.369442947583942 53.01999532579316),United Kingdom,East Midlands (England),Derbyshire,DE75 7AE
,Other,SRID=4326;POINT (-5.296754581618702 58.19373012243004),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-1.836082113938494 52.81106793811539),United Kingdom,West Midlands (England),Staffordshire,WS15 3BB
,Hospital,SRID=4326;POINT (-4.420905789557578 57.56095487889485),United Kingdom,Scotland,Highland,IV7 8DN
,Drive through centre,SRID=4326;POINT (-3.556440178979705 55.09261862852391),United Kingdom,Scotland,Dumfries and Galloway,DG1 3UQ
,Hospital,SRID=4326;POINT (-2.413956883409684 52.32504258842891),United Kingdom,West Midlands (England),Worcestershire,WR6 6AJ
,Home,SRID=4326;POINT (-2.347040393441026 57.5137313853784),United Kingdom,Scotland,Aberdeenshire,AB53 8HY
,Home,SRID=4326;POINT (1.592242048507629 52.4440101930609),United Kingdom,East of England,Suffolk,NR34 7FA
,Hospital,SRID=4326;POINT (1.172460466656654 52.18175432873993),United Kingdom,East of England,Suffolk,IP14 6DL
,Hospital,SRID=4326;POINT (-3.141920436179431 51.58347921703162),United Kingdom,Wales,Caerphilly,NP10 8GJ
,Drive through centre,SRID=4326;POINT (-3.610029818685885 51.77274488589267),United Kingdom,Wales,Powys,SA11 5UR
,Home,SRID=4326;POINT (-1.472336628429295 54.76416518060813),United Kingdom,North East (England),County Durham,DH6 1LF
,Hospital,SRID=4326;POINT (-1.912251707153779 54.34138449729184),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL8 4HD
,Home,SRID=4326;POINT (-3.981459510069676 55.23108623541111),United Kingdom,Scotland,Dumfries and Galloway,
,Home,SRID=4326;POINT (-6.913431746526833 54.65038133454577),United Kingdom,Northern Ireland,Mid Ulster,BT80 9JH
,Other,SRID=4326;POINT (-1.228893144193668 54.35938456324875),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL6 3QD
,Home,SRID=4326;POINT (-3.831545354623946 56.38799959020061),United Kingdom,Scotland,Perth and Kinross,PH7 3LH
,GP clinic,SRID=4326;POINT (-4.669900972088862 57.37648459631313),United Kingdom,Scotland,Highland,IV4 7NE
,Hospital,SRID=4326;POINT (-4.760481688556094 57.58387084647531),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-1.135517660175081 51.50915308415973),United Kingdom,South East (England),West Berkshire,RG8 9ND
,GP clinic,SRID=4326;POINT (-1.294588156537414 60.17603500004917),United Kingdom,,,ZE2 9LL
,Other,SRID=4326;POINT (-4.313439865596813 55.89358134987334),United Kingdom,Scotland,Glasgow City,G12 0ED
,Drive through centre,SRID=4326;POINT (-3.903859138105324 52.90200320283748),United Kingdom,Wales,Gwynedd,LL41 4TL
,Home,SRID=4326;POINT (-5.045819649559453 56.1327554178717),United Kingdom,Scotland,Argyll and Bute,PA27 8DJ
,Hospital,SRID=4326;POINT (-2.00676177768554 53.63132691013862),United Kingdom,Yorkshire and The Humber,Calderdale,
,Hospital,SRID=4326;POINT (-0.9803216013181864 51.75405261634651),United Kingdom,South East (England),Oxfordshire,OX9 3PG
,GP clinic,SRID=4326;POINT (-4.366193919969175 57.77101380335996),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-2.251357141759158 52.24869485362967),United Kingdom,West Midlands (England),Worcestershire,WR2 6LS
,Home,SRID=4326;POINT (0.1782444959883005 53.10338459752006),United Kingdom,East Midlands (England),Lincolnshire,PE24 4JX
,Home,SRID=4326;POINT (-4.824680329188837 57.33103611198736),United Kingdom,Scotland,Highland,IV4 7NB
,Other,SRID=4326;POINT (-3.5691719210065 53.05774443003372),United Kingdom,Wales,Conwy,LL21 9TT
,Drive through centre,SRID=4326;POINT (-3.603860393590542 50.554827074983),United Kingdom,South West (England),Devon,TQ12 3NZ
,Home,SRID=4326;POINT (-2.774763203971091 55.81716501727169),United Kingdom,Scotland,Scottish Borders,TD2 6RE
,Drive through centre,SRID=4326;POINT (-3.459153458029849 54.6364077267297),United Kingdom,North West (England),Cumbria,CA14 1YU
,Home,SRID=4326;POINT (0.6865145807450919 51.86867943503003),United Kingdom,East of England,Essex,CO6 1RF
,Home,SRID=4326;POINT (-4.141497977155491 53.06444162382757),United Kingdom,Wales,Gwynedd,LL54 7YS
,Hospital,SRID=4326;POINT (-2.309362743096878 57.07154304873332),United Kingdom,Scotland,Aberdeenshire,AB31 6BA
,Hospital,SRID=4326;POINT (-1.294551329711573 60.3292045324952),United Kingdom,Scotland,Shetland Islands,
,Drive through centre,SRID=4326;POINT (-5.136016477596561 51.79167196967565),United Kingdom,,,
,GP clinic,SRID=4326;POINT (-3.939909032226267 55.96036884395197),United Kingdom,Scotland,North Lanarkshire,G67 3LY
,Hospital,SRID=4326;POINT (-2.667595635162884 54.43182704326066),United Kingdom,North West (England),Cumbria,CA10 3TE
,Other,SRID=4326;POINT (-3.453765021948319 57.16374976697411),United Kingdom,Scotland,Moray,
,Home,SRID=4326;POINT (-4.107179184404743 56.31880883394461),United Kingdom,Scotland,Perth and Kinross,
,Drive through centre,SRID=4326;POINT (-3.022371487339389 50.83392838900338),United Kingdom,South West (England),Devon,EX13 7JT
,GP clinic,SRID=4326;POINT (0.5356558851103248 52.640893388916),United Kingdom,East of England,Norfolk,PE33 9GJ
,Hospital,SRID=4326;POINT (-0.6750497321210673 53.13519645515931),United Kingdom,East Midlands (England),Lincolnshire,LN6 9QF
,Other,SRID=4326;POINT (-4.744288299068052 57.94549814668417),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-0.3059808782549798 52.19705952935127),United Kingdom,East of England,Bedford,MK44 3AF
,Home,SRID=4326;POINT (0.3797260725205902 52.03537761379802),United Kingdom,East of England,Essex,CB21 4TW
,Home,SRID=4326;POINT (-1.358029983439913 53.29218781590158),United Kingdom,East Midlands (England),Derbyshire,S43 3YQ
,Hospital,SRID=4326;POINT (-0.8131720562226699 51.88481687769479),United Kingdom,South East (England),Buckinghamshire,HP22 4EH
,Home,SRID=4326;POINT (-0.5029351792426668 51.22181401523091),United Kingdom,South East (England),Surrey,GU5 9BZ
,Hospital,SRID=4326;POINT (-5.800490336412519 54.25336685044599),United Kingdom,Northern Ireland,"Newry, Mourne and Down",BT30 8FE
,Other,SRID=4326;POINT (-0.1971641007684495 53.29259221016491),United Kingdom,East Midlands (England),Lincolnshire,LN8 5LH
,Hospital,SRID=4326;POINT (-3.906909167645612 57.39757851573276),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-3.997740678459373 51.02002765259473),United Kingdom,South West (England),Devon,EX32 0EX
,GP clinic,SRID=4326;POINT (-6.72871645078716 55.14813273431705),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT51 3PA
,Home,SRID=4326;POINT (-3.11552115911049 51.94892030246084),United Kingdom,Wales,Powys,
,Other,SRID=4326;POINT (-2.686834110699817 51.14138011734436),United Kingdom,South West (England),Somerset,BA6 8LE
,Home,SRID=4326;POINT (-6.969551585521779 54.86681703975579),United Kingdom,Northern Ireland,Causeway Coast and Glens,
,Hospital,SRID=4326;POINT (0.8007248992653846 51.8298362513404),United Kingdom,East of England,Essex,CO5 9UZ
,Home,SRID=4326;POINT (-6.543218404854755 54.54337834883479),United Kingdom,Northern Ireland,Mid Ulster,
,Hospital,SRID=4326;POINT (-1.798013096209922 53.56161891011889),United Kingdom,Yorkshire and The Humber,Kirklees,HD9 2SY
,Drive through centre,SRID=4326;POINT (-6.12226102550478 54.68521170150256),United Kingdom,Northern Ireland,Antrim and Newtownabbey,BT39 0JF
,Drive through centre,SRID=4326;POINT (-2.462633834854842 57.24622886988776),United Kingdom,Scotland,Aberdeenshire,AB51 5LY
,Home,SRID=4326;POINT (-3.147018213321321 52.60604257488341),United Kingdom,Wales,Powys,SY21 8NQ
,Hospital,SRID=4326;POINT (-2.025045555418548 52.98413315249148),United Kingdom,West Midlands (England),Staffordshire,ST10 2NX
,GP clinic,SRID=4326;POINT (1.026328496524712 52.29876187325911),United Kingdom,East of England,Suffolk,IP23 8JH
,Hospital,SRID=4326;POINT (-2.923034166212658 58.97673775012646),United Kingdom,Scotland,Orkney Islands,KW15 1WT
,Other,SRID=4326;POINT (-3.50103746476767 57.38550695902556),United Kingdom,Scotland,Highland,PH26 3PN
,Hospital,SRID=4326;POINT (-6.276413775328731 54.98249288510735),United Kingdom,Northern Ireland,Mid and East Antrim,BT44 9RS
,Hospital,SRID=4326;POINT (-3.219136443493066 52.3568368703304),United Kingdom,Wales,Powys,LD1 6UD
,Other,SRID=4326;POINT (-2.250246966521228 53.7863286698516),United Kingdom,North West (England),Lancashire,BB11 4SL
,Home,SRID=4326;POINT (-2.068506333242311 57.54590048127867),United Kingdom,Scotland,Aberdeenshire,AB42 4LH
,Other,SRID=4326;POINT (-0.6034140607570899 53.09284147112027),United Kingdom,East Midlands (England),Lincolnshire,LN5 0SS
,GP clinic,SRID=4326;POINT (-3.3891365239121 51.66714241111389),United Kingdom,Wales,Rhondda Cynon Taf,CF37 3PG
,Other,SRID=4326;POINT (-6.054286537246274 55.8239446537039),United Kingdom,Scotland,Argyll and Bute,
,Other,SRID=4326;POINT (-5.198125772360209 50.13304220632949),United Kingdom,South West (England),Cornwall,TR11 5QW
,Other,SRID=4326;POINT (-2.995483305899103 56.85894406664045),United Kingdom,Scotland,Angus,
,Home,SRID=4326;POINT (-1.482257840274433 54.11909939720586),United Kingdom,Yorkshire and The Humber,North Yorkshire,HG4 5AD
,Hospital,SRID=4326;POINT (-6.744768539599861 54.39277918595425),United Kingdom,Northern Ireland,"Armagh City, Banbridge and Craigavon",BT71 7LL
,Other,SRID=4326;POINT (-4.602281953413966 56.92819871991455),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-0.1561520572979518 52.29248254087014),United Kingdom,East of England,Cambridgeshire,PE29 2LJ
,Other,SRID=4326;POINT (-0.06920086454358021 51.19648521687688),United Kingdom,South East (England),Surrey,RH9 8JH
,Hospital,SRID=4326;POINT (-3.577552910068437 56.26246480501445),United Kingdom,Scotland,Perth and Kinross,PH2 0RD
,Home,SRID=4326;POINT (-1.630935679831995 51.60075771590421),United Kingdom,South East (England),Oxfordshire,SN6 8HF
,GP clinic,SRID=4326;POINT (-1.262147278731011 53.64260049743614),United Kingdom,Yorkshire and The Humber,Wakefield,WF8 3EJ
,Drive through centre,SRID=4326;POINT (-2.275191451706521 50.91958707265427),United Kingdom,South West (England),Dorset,DT10 2BU
,Hospital,SRID=4326;POINT (-0.2468322417826245 52.0386044246946),United Kingdom,East of England,Central Bedfordshire,SG18 9PJ
,Hospital,SRID=4326;POINT (1.175024665937311 51.93516954900629),United Kingdom,East of England,Essex,CO11 2TZ
,Hospital,SRID=4326;POINT (-3.903653153717605 56.94452685038867),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-0.4699858120813891 52.43410761622515),United Kingdom,East Midlands (England),Northamptonshire,PE8 5SE
,Home,SRID=4326;POINT (-3.910516504269377 58.35335710721531),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-2.024303412914333 51.21545440969293),United Kingdom,South West (England),Wiltshire,BA12 0LA
,Hospital,SRID=4326;POINT (-0.8994958573596392 51.97156372766941),United Kingdom,South East (England),Buckinghamshire,MK18 2JE
,Hospital,SRID=4326;POINT (-3.914153451607257 57.17449298624933),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-2.181990963886434 52.34651997591242),United Kingdom,West Midlands (England),Worcestershire,DY10 4RG
,Home,SRID=4326;POINT (-3.708963406975376 52.21958038550405),United Kingdom,Wales,Powys,
,GP clinic,SRID=4326;POINT (-2.700689098396457 54.93263802301546),United Kingdom,North West (England),Cumbria,CA8 1HW
,Home,SRID=4326;POINT (-3.955153574675891 56.35420868668177),United Kingdom,Scotland,Perth and Kinross,PH6 2JE
,Home,SRID=4326;POINT (0.1636934692129284 53.1318996530454),United Kingdom,East Midlands (England),Lincolnshire,PE24 4QF
,Hospital,SRID=4326;POINT (-4.319475052185682 58.28586572811123),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-5.569708198014999 56.05872474560955),United Kingdom,Scotland,Argyll and Bute,PA31 8PS
,Home,SRID=4326;POINT (-0.01987312285997334 53.07719580868407),United Kingdom,East Midlands (England),Lincolnshire,PE22 8AN
,Other,SRID=4326;POINT (-2.601574693700409 52.19748829115948),United Kingdom,West Midlands (England),"Herefordshire, County of",HR7 4TL
,Home,SRID=4326;POINT (-2.772748379008861 55.06487135041618),United Kingdom,North West (England),Cumbria,CA6 6NG
,Drive through centre,SRID=4326;POINT (-5.969853052493271 54.34338983437161),United Kingdom,Northern Ireland,"Newry, Mourne and Down",BT25 2LB
,Other,SRID=4326;POINT (-7.052587132294779 54.85569622262426),United Kingdom,Northern Ireland,Derry City and Strabane,BT47 4DQ
,GP clinic,SRID=4326;POINT (-4.337574950034041 55.72963460502991),United Kingdom,Scotland,East Renfrewshire,G77 6SD
,Drive through centre,SRID=4326;POINT (0.2508883232871604 51.45836664123721),United Kingdom,South East (England),Kent,DA2 6PT
,Drive through centre,SRID=4326;POINT (0.1646243634444762 52.54111587821995),United Kingdom,East of England,Cambridgeshire,PE14 9PA
,Drive through centre,SRID=4326;POINT (-3.293632354382944 51.89678985183188),United Kingdom,Wales,Powys,LD3 7UZ
,Home,SRID=4326;POINT (-7.599626793715974 54.4866204164711),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT94 1GE
,GP clinic,SRID=4326;POINT (-3.820267608197434 50.66482365593276),United Kingdom,South West (England),Devon,TQ13 8JH
,GP clinic,SRID=4326;POINT (-6.94910547046562 54.56151436168872),United Kingdom,Northern Ireland,Mid Ulster,BT70 2UJ
,Home,SRID=4326;POINT (-2.590008377631483 53.65974379513521),United Kingdom,North West (England),Lancashire,PR6 9BU
,Drive through centre,SRID=4326;POINT (-2.225339768513925 52.0280554315504),United Kingdom,West Midlands (England),Worcestershire,WR8 0RQ
,GP clinic,SRID=4326;POINT (-1.012908523335566 53.19084575385383),United Kingdom,East Midlands (England),Nottinghamshire,NG22 9BA
,GP clinic,SRID=4326;POINT (-5.012466109959118 56.85236174941337),United Kingdom,Scotland,Highland,PH33 6SQ
,Drive through centre,SRID=4326;POINT (-0.1999053905808879 54.1533376747368),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO15 1DJ
,Other,SRID=4326;POINT (0.9436422210327855 51.9982221775582),United Kingdom,East of England,Suffolk,CO6 4SZ
,Drive through centre,SRID=4326;POINT (1.444850723842638 52.36484663354794),United Kingdom,East of England,Suffolk,IP19 0NF
,Drive through centre,SRID=4326;POINT (-2.488361406483558 55.02745638557357),United Kingdom,North East (England),Northumberland,
,Hospital,SRID=4326;POINT (0.07362448414732548 51.03096339373048),United Kingdom,South East (England),East Sussex,TN22 3LN
,Home,SRID=4326;POINT (1.497470745420747 52.13280708958797),United Kingdom,East of England,Suffolk,IP12 2HQ
,Drive through centre,SRID=4326;POINT (1.329052153507311 52.81165227862975),United Kingdom,East of England,Norfolk,NR28 0LE
,Other,SRID=4326;POINT (-3.822146844998463 51.14535429665603),United Kingdom,South West (England),Somerset,TA24 7LJ
,Other,SRID=4326;POINT (-3.617324122924 53.25161377221731),United Kingdom,Wales,Conwy,LL22 8PL
,GP clinic,SRID=4326;POINT (0.405325807236343 51.98108319387077),United Kingdom,East of England,Essex,CB10 2FN
,Drive through centre,SRID=4326;POINT (-4.152134639994761 57.07507360408823),United Kingdom,Scotland,Highland,PH20 1BH
,Home,SRID=4326;POINT (0.01382125332973416 51.17769807050161),United Kingdom,South East (England),Surrey,RH7 6PN
,Other,SRID=4326;POINT (-4.04320994159265 57.14652601499593),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-2.897244824313444 50.74635029063507),United Kingdom,South West (England),Dorset,DT6 6LZ
,Hospital,SRID=4326;POINT (-0.2724318854466237 53.44184108779718),United Kingdom,East Midlands (England),Lincolnshire,LN8 3UX
,GP clinic,SRID=4326;POINT (-3.589896972351879 56.8030704468503),United Kingdom,Scotland,Perth and Kinross,
,Hospital,SRID=4326;POINT (-4.727005973918778 57.93722348292005),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (0.2106563397131591 53.07936013722647),United Kingdom,East Midlands (England),Lincolnshire,PE22 8SE
,Home,SRID=4326;POINT (-0.01385644011627818 50.85970043931373),United Kingdom,South East (England),East Sussex,BN7 3NS
,GP clinic,SRID=4326;POINT (-2.137281535433452 53.94614506641877),United Kingdom,Yorkshire and The Humber,North Yorkshire,BD23 3SY
,GP clinic,SRID=4326;POINT (-2.275216483134194 57.01372225387861),United Kingdom,Scotland,Aberdeenshire,AB39 3SY
,Drive through centre,SRID=4326;POINT (-3.655020811152927 55.44759269165392),United Kingdom,Scotland,South Lanarkshire,ML12 6TQ
,Home,SRID=4326;POINT (-7.072320308171145 54.44230725074868),United Kingdom,Northern Ireland,Mid Ulster,BT70 2NB
,Drive through centre,SRID=4326;POINT (-5.192262049013408 50.18503163370447),United Kingdom,South West (England),Cornwall,TR3 7AW
,Home,SRID=4326;POINT (-1.167486974655429 54.12917964951144),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO61 4TJ
,Home,SRID=4326;POINT (-1.188563296782791 53.36626969796118),United Kingdom,Yorkshire and The Humber,Rotherham,S25 2PB
,Other,SRID=4326;POINT (-2.660524777023218 55.82870036876393),United Kingdom,Scotland,Scottish Borders,
,Other,SRID=4326;POINT (-4.550035010022497 51.77570940662843),United Kingdom,Wales,Carmarthenshire,SA33 4PU
,Other,SRID=4326;POINT (-0.002350899484319768 51.13250909997856),United Kingdom,South East (England),West Sussex,RH19 3HT
,Hospital,SRID=4326;POINT (-0.191078559915792 52.36380130127763),United Kingdom,East of England,Cambridgeshire,PE28 2LB
,GP clinic,SRID=4326;POINT (-4.281147425150058 52.09775915321322),United Kingdom,Wales,Ceredigion,SA44 4TX
,Drive through centre,SRID=4326;POINT (-3.678028681977586 55.92613703899747),United Kingdom,Scotland,West Lothian,EH48 4NJ
,Hospital,SRID=4326;POINT (0.5019378885233117 52.91595156830895),United Kingdom,East of England,Norfolk,PE31 7FG
,GP clinic,SRID=4326;POINT (0.2568607341312621 50.83185771702704),United Kingdom,South East (England),East Sussex,BN26 6QT
,GP clinic,SRID=4326;POINT (-0.133974391959919 52.551336610773),United Kingdom,East of England,Cambridgeshire,PE7 1DS
,Other,SRID=4326;POINT (-3.708525915231321 58.26015082146903),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-4.458843250119129 56.92683709279153),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-4.32923944653656 50.61215871116712),United Kingdom,South West (England),Cornwall,PL15 9NJ
,Home,SRID=4326;POINT (-1.465401396679773 51.19486351050976),United Kingdom,South East (England),Hampshire,SP10 2DP
,Home,SRID=4326;POINT (-2.899808449155175 55.39795033941922),United Kingdom,Scotland,Scottish Borders,TD9 7PH
,GP clinic,SRID=4326;POINT (-2.854690105668196 55.09020278228112),United Kingdom,North West (England),Cumbria,CA6 5QE
,Home,SRID=4326;POINT (-0.1642735750593891 53.49802046061476),United Kingdom,Yorkshire and The Humber,North East Lincolnshire,DN37 0SH
,GP clinic,SRID=4326;POINT (-3.791510466737107 51.22644381075142),United Kingdom,South West (England),Devon,EX35 6NE
,Hospital,SRID=4326;POINT (-5.23518253883067 57.78266230479272),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-3.709206841480525 52.06560771072669),United Kingdom,Wales,Carmarthenshire,SA20 0LP
,Hospital,SRID=4326;POINT (-3.708974877493302 55.88850219132965),United Kingdom,Scotland,West Lothian,EH48 3JZ
,Drive through centre,SRID=4326;POINT (-4.970291975075522 56.09151565079473),United Kingdom,Scotland,Argyll and Bute,PA23 8SG
,Hospital,SRID=4326;POINT (-3.502577582856127 58.56916129453483),United Kingdom,Scotland,Highland,KW14 8YH
,Home,SRID=4326;POINT (-4.2855900201235 56.95141579503189),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-4.923560848581795 58.53895962389757),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-1.8226122043702 53.37158896238395),United Kingdom,East Midlands (England),Derbyshire,S33 7ZD
,Other,SRID=4326;POINT (-1.168245750465609 53.09176495926901),United Kingdom,East Midlands (England),Nottinghamshire,NG15 9GT
,Hospital,SRID=4326;POINT (-0.3792749993564506 53.49258392897887),United Kingdom,East Midlands (England),Lincolnshire,LN7 6HG
,Hospital,SRID=4326;POINT (-4.52258523661324 56.07904802490359),United Kingdom,Scotland,Stirling,G63 0JG
,Drive through centre,SRID=4326;POINT (-2.171524366763323 55.18959866321227),United Kingdom,North East (England),Northumberland,NE48 2TU
,Home,SRID=4326;POINT (-2.86161581361541 54.68646935900484),United Kingdom,North West (England),Cumbria,CA11 0DF
,Hospital,SRID=4326;POINT (1.300252941856426 52.69279481755746),United Kingdom,East of England,Norfolk,NR10 3PT
,Hospital,SRID=4326;POINT (-4.880968581949082 55.14663698945304),United Kingdom,Scotland,South Ayrshire,KA26 0RX
,Hospital,SRID=4326;POINT (-3.429972713253955 54.5780400749202),United Kingdom,North West (England),Cumbria,CA14 4TU
,Other,SRID=4326;POINT (-1.329525871209075 52.03942631664692),United Kingdom,South East (England),Oxfordshire,OX15 4AA
,Home,SRID=4326;POINT (-4.417453511335149 57.40737999575163),United Kingdom,Scotland,Highland,IV3 8LB
,Other,SRID=4326;POINT (-3.281255151968126 53.20487061296576),United Kingdom,Wales,Flintshire,CH7 5RP
,GP clinic,SRID=4326;POINT (-6.143404927498746 54.25964708329442),United Kingdom,Northern Ireland,"Armagh City, Banbridge and Craigavon",BT34 5NL
,GP clinic,SRID=4326;POINT (0.2486591182512061 51.08130907811272),United Kingdom,South East (England),East Sussex,TN3 9HT
,Other,SRID=4326;POINT (-0.658004472101914 53.14322550996481),United Kingdom,East Midlands (England),Lincolnshire,LN6 9QB
