id,centre_type,coordinates,country,region,county,postcode
,Drive through centre,SRID=4326;POINT (-1.304097349974838 51.33565543247173),United Kingdom,South East (England),Hampshire,RG20 9AE
,Drive through centre,SRID=4326;POINT (-2.010224431453787 51.97454291080097),United Kingdom,South West (England),Gloucestershire,GL54 5HF
,Hospital,SRID=4326;POINT (-3.905161697239399 55.55243655155372),United Kingdom,Scotland,South Lanarkshire,
,Home,SRID=4326;POINT (-4.925170332976371 56.15693178129695),United Kingdom,Scotland,Argyll and Bute,PA24 8AR
,GP clinic,SRID=4326;POINT (-2.429989738083586 55.92083939310636),United Kingdom,Scotland,East Lothian,TD13 5XW
,Drive through centre,SRID=4326;POINT (1.377088364439006 51.21630318758755),United Kingdom,South East (England),Kent,CT14 9LZ
,Drive through centre,SRID=4326;POINT (-7.257087971475121 57.12659683867676),United Kingdom,Scotland,Na h-Eileanan Siar,
,Hospital,SRID=4326;POINT (-3.877226660781775 58.00794678957656),United Kingdom,Scotland,Highland,KW9 6NE
,GP clinic,SRID=4326;POINT (-0.8756317966635816 50.98105119153384),United Kingdom,South East (England),West Sussex,GU31 5BG
,Other,SRID=4326;POINT (-2.544866576175681 55.44860153677075),United Kingdom,Scotland,Scottish Borders,TD8 6PQ
,Drive through centre,SRID=4326;POINT (-2.940617398197932 52.18254304513533),United Kingdom,West Midlands (England),"Herefordshire, County of",HR6 9JJ
,Other,SRID=4326;POINT (-0.6243390972516112 54.16536801383718),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO17 8JA
,Home,SRID=4326;POINT (0.4339298360220951 52.22925856479825),United Kingdom,East of England,Cambridgeshire,CB8 9HB
,Hospital,SRID=4326;POINT (-2.582947134871988 57.211315330989),United Kingdom,Scotland,Aberdeenshire,AB51 7SS
,Home,SRID=4326;POINT (-4.377659087339696 56.22466888017125),United Kingdom,Scotland,Stirling,FK17 8HT
,GP clinic,SRID=4326;POINT (-2.655176773033809 51.38262165369505),United Kingdom,South West (England),North Somerset,BS40 8HA
,Other,SRID=4326;POINT (-4.121020360264759 58.40257343920526),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (0.1227932199753141 52.11219845306321),United Kingdom,East of England,Cambridgeshire,CB22 4XS
,Drive through centre,SRID=4326;POINT (-3.189848573082371 51.07563138576021),United Kingdom,South West (England),Somerset,TA4 3ED
,Drive through centre,SRID=4326;POINT (-1.233876252452196 54.24151856029869),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO7 2QD
,Hospital,SRID=4326;POINT (-2.986481119200628 51.62617711625432),United Kingdom,Wales,Newport,NP44 3EE
,Home,SRID=4326;POINT (-1.894666082815804 52.09607336699277),United Kingdom,West Midlands (England),Worcestershire,WR11 7TW
,Hospital,SRID=4326;POINT (-2.747690399061777 57.0477903068568),United Kingdom,Scotland,Aberdeenshire,AB34 5DB
,Hospital,SRID=4326;POINT (-0.6630404140093251 52.28334573591641),United Kingdom,East Midlands (England),Northamptonshire,NN29 7DJ
,Other,SRID=4326;POINT (-4.443473595219713 58.32181189276942),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-3.886446777619283 52.13918844907184),United Kingdom,Wales,Ceredigion,SY25 6PG
,Hospital,SRID=4326;POINT (-5.274231057750122 55.70665375752117),United Kingdom,Scotland,North Ayrshire,KA27 8JF
,Drive through centre,SRID=4326;POINT (-4.647112669427315 55.10029477704511),United Kingdom,Scotland,Dumfries and Galloway,DG8 6RP
,Other,SRID=4326;POINT (-1.862271164898277 51.69381674346423),United Kingdom,South West (England),Gloucestershire,GL7 5JD
,Other,SRID=4326;POINT (-1.252595998366124 54.09186918659372),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO61 1TN
,Hospital,SRID=4326;POINT (-2.332528559846772 54.12021623962088),United Kingdom,Yorkshire and The Humber,North Yorkshire,LA2 8DQ
,Drive through centre,SRID=4326;POINT (-1.442527410946314 51.73169527086879),United Kingdom,South East (England),Oxfordshire,OX29 7QQ
,Home,SRID=4326;POINT (-2.717238315467963 57.53990323172943),United Kingdom,Scotland,Moray,AB54 7NQ
,Hospital,SRID=4326;POINT (-2.048777021199095 54.51174265348253),United Kingdom,North East (England),County Durham,DL12 9NA
,Home,SRID=4326;POINT (-6.265524791993928 57.43168396404668),United Kingdom,Scotland,Highland,IV51 9LN
,GP clinic,SRID=4326;POINT (-3.499857483673515 55.63397822352291),United Kingdom,Scotland,South Lanarkshire,ML12 6ZP
,Hospital,SRID=4326;POINT (-3.07386346806871 54.57341578574194),United Kingdom,North West (England),Cumbria,CA12 4TG
,Other,SRID=4326;POINT (-2.798742789650763 53.54864778730334),United Kingdom,North West (England),Lancashire,WN8 8DN
,Drive through centre,SRID=4326;POINT (-4.962753894607124 57.38189262211228),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-3.817472203619596 52.77873887977757),United Kingdom,Wales,Gwynedd,LL40 2DT
,Home,SRID=4326;POINT (-3.926993149557354 56.5545057652547),United Kingdom,Scotland,Perth and Kinross,PH8 0DE
,Other,SRID=4326;POINT (-4.706425609724201 57.46691286236288),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-2.654070068997426 52.70995120565411),United Kingdom,West Midlands (England),Shropshire,SY4 4US
,Drive through centre,SRID=4326;POINT (-0.7009747137507194 52.84769618791012),United Kingdom,East Midlands (England),Lincolnshire,NG32 1AW
,Other,SRID=4326;POINT (-0.1818905915815368 51.87186811163435),United Kingdom,East of England,Hertfordshire,SG3 6NP
,Other,SRID=4326;POINT (-1.150488529337999 54.00681522755399),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO30 1YW
,GP clinic,SRID=4326;POINT (-4.272348510507585 57.99734266453859),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (0.9341617145632721 51.92216014329231),United Kingdom,East of England,Essex,CO4 9TF
,Drive through centre,SRID=4326;POINT (-3.736352902098389 50.57490277036959),United Kingdom,South West (England),Devon,TQ13 9XU
,Home,SRID=4326;POINT (-7.581132204266867 54.31517400314701),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT74 4LT
,GP clinic,SRID=4326;POINT (-0.3189584946019064 52.50685432357287),United Kingdom,East of England,Cambridgeshire,PE7 3TG
,Hospital,SRID=4326;POINT (-1.585520230969331 51.8997444542547),United Kingdom,South East (England),Oxfordshire,OX7 6PS
,Drive through centre,SRID=4326;POINT (-4.188047325542629 56.70008458580213),United Kingdom,Scotland,Perth and Kinross,PH16 5PW
,Other,SRID=4326;POINT (-2.370262411488687 56.84696008130787),United Kingdom,Scotland,Aberdeenshire,AB30 1JN
,Other,SRID=4326;POINT (-5.516507521505302 57.18931990634007),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-4.146520393835862 56.61194095097287),United Kingdom,Scotland,Perth and Kinross,PH15 2NH
,Drive through centre,SRID=4326;POINT (-5.820095767525178 54.58863783621501),United Kingdom,Northern Ireland,Lisburn and Castlereagh,BT16 1YG
,Other,SRID=4326;POINT (-3.748038286290725 51.74001781011373),United Kingdom,Wales,Neath Port Talbot,SA10 8PS
,Hospital,SRID=4326;POINT (-3.125472345405383 57.34178401691925),United Kingdom,Scotland,Moray,
,GP clinic,SRID=4326;POINT (-1.688974939956435 53.97374458357257),United Kingdom,Yorkshire and The Humber,North Yorkshire,HG3 1TB
,GP clinic,SRID=4326;POINT (-3.358111254033707 57.13997734169141),United Kingdom,Scotland,Moray,
,GP clinic,SRID=4326;POINT (-2.615492755183742 53.42987299469154),United Kingdom,North West (England),Warrington,WA2 8RY
,Hospital,SRID=4326;POINT (-7.166239077373865 55.05146791852808),United Kingdom,Northern Ireland,Derry City and Strabane,BT47 3ZF
,Hospital,SRID=4326;POINT (-6.023619481414962 56.70500669030329),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-6.230993579063555 57.5674246316657),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-7.30465095558433 57.63716556561053),United Kingdom,Scotland,Na h-Eileanan Siar,
,Hospital,SRID=4326;POINT (-1.608393835530848 53.48014946973476),United Kingdom,Yorkshire and The Humber,Sheffield,S36 1LG
,Other,SRID=4326;POINT (-3.022323007618827 55.54431913857832),United Kingdom,Scotland,Scottish Borders,TD7 5LA
,Hospital,SRID=4326;POINT (-4.723060992711951 57.89288739369013),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (0.7267314420643292 52.59447818021631),United Kingdom,East of England,Norfolk,PE37 8DT
,Drive through centre,SRID=4326;POINT (-2.750590097985216 50.91712600668702),United Kingdom,South West (England),Somerset,TA18 7PN
,GP clinic,SRID=4326;POINT (-1.507707107166915 52.44311817561587),United Kingdom,West Midlands (England),Coventry,CV6 6GW
,Other,SRID=4326;POINT (-4.298753029990419 55.34906854216291),United Kingdom,Scotland,East Ayrshire,
,GP clinic,SRID=4326;POINT (-2.080483610135356 54.16247526907924),United Kingdom,Yorkshire and The Humber,North Yorkshire,BD23 5JF
,GP clinic,SRID=4326;POINT (-4.684629415722053 55.87028620151256),United Kingdom,Scotland,Inverclyde,PA13 4TF
,Drive through centre,SRID=4326;POINT (-6.986617236815329 54.75830537851876),United Kingdom,Northern Ireland,Fermanagh and Omagh,
,Home,SRID=4326;POINT (-1.332609747557217 51.40848871308662),United Kingdom,South East (England),West Berkshire,RG14 1PZ
,Other,SRID=4326;POINT (1.646180991365608 52.34846750392292),United Kingdom,East of England,Suffolk,IP18 6SJ
,Hospital,SRID=4326;POINT (-4.788654192446005 58.17645217320035),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-3.829315953883782 56.29629348912981),United Kingdom,Scotland,Perth and Kinross,PH5 2BU
,Other,SRID=4326;POINT (-4.351070233522651 50.4583440668218),United Kingdom,South West (England),Cornwall,PL14 3SJ
,Hospital,SRID=4326;POINT (-3.650116483262555 51.01743870016664),United Kingdom,South West (England),Devon,EX36 3PJ
,Drive through centre,SRID=4326;POINT (-4.357504135739129 53.4105401935536),United Kingdom,Wales,Isle of Anglesey,LL68 9EF
,Drive through centre,SRID=4326;POINT (-2.490918150882982 51.49903237764698),United Kingdom,South West (England),South Gloucestershire,BS16 6TF
,Hospital,SRID=4326;POINT (-1.825101321856213 51.6889556346612),United Kingdom,South West (England),Gloucestershire,GL7 5LA
,Home,SRID=4326;POINT (-2.976021586292909 56.5494786963062),United Kingdom,Scotland,Angus,DD4 0RB
,Other,SRID=4326;POINT (-1.82986303893551 52.05914149476561),United Kingdom,South West (England),Gloucestershire,WR12 7PX
,Drive through centre,SRID=4326;POINT (0.2299778291315953 51.28366666932567),United Kingdom,South East (England),Kent,TN15 0LE
,Drive through centre,SRID=4326;POINT (-1.854697653250338 53.30901666214025),United Kingdom,East Midlands (England),Derbyshire,SK17 8EE
,Drive through centre,SRID=4326;POINT (-1.997373560335514 52.55163875459242),United Kingdom,West Midlands (England),Sandwell,WS10 0ET
,Hospital,SRID=4326;POINT (-3.235299939012295 56.73088348832901),United Kingdom,Scotland,Angus,PH11 8PE
,Home,SRID=4326;POINT (-3.952153117113349 55.16141923576393),United Kingdom,Scotland,Dumfries and Galloway,DG3 4EW
,Home,SRID=4326;POINT (-4.440957315584939 56.89345733693112),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-4.310831710422775 55.49554832997363),United Kingdom,Scotland,East Ayrshire,KA5 6NJ
,Hospital,SRID=4326;POINT (0.4870046400676102 51.45113402746279),United Kingdom,South East (England),Medway,ME3 7RT
,Hospital,SRID=4326;POINT (-2.479336200889944 52.11385587511833),United Kingdom,West Midlands (England),"Herefordshire, County of",HR8 1HN
,Drive through centre,SRID=4326;POINT (-2.473228306240147 55.32787602905884),United Kingdom,North East (England),Northumberland,NE19 1TJ
,Other,SRID=4326;POINT (-4.497575240006231 55.84664149653843),United Kingdom,Scotland,Renfrewshire,PA3 3EL
,Home,SRID=4326;POINT (-1.526012306591364 52.54011873819866),United Kingdom,West Midlands (England),Warwickshire,CV10 0NR
,Other,SRID=4326;POINT (-4.368656350576913 53.22785663125668),United Kingdom,Wales,Isle of Anglesey,LL62 5DL
,Drive through centre,SRID=4326;POINT (-3.745149581819704 55.0489881835874),United Kingdom,Scotland,Dumfries and Galloway,DG2 8QB
,Other,SRID=4326;POINT (-1.461200045928883 52.39648319976813),United Kingdom,West Midlands (England),Coventry,CV3 2PU
,Home,SRID=4326;POINT (-3.273538526839136 52.21246265387101),United Kingdom,Wales,Powys,LD1 5RR
,GP clinic,SRID=4326;POINT (-7.467745539621433 54.68446815586642),United Kingdom,Northern Ireland,Derry City and Strabane,BT78 4HN
,Hospital,SRID=4326;POINT (-4.043570102643871 53.07130899955532),United Kingdom,Wales,Gwynedd,LL55 4NU
,Hospital,SRID=4326;POINT (-2.233836918041683 50.70812449820217),United Kingdom,South West (England),Dorset,BH20 6LJ
,GP clinic,SRID=4326;POINT (-0.2037405578631573 51.51326939040408),United Kingdom,London,Kensington and Chelsea,W11 2PW
,Other,SRID=4326;POINT (-0.3439174060820438 53.65304429743504),United Kingdom,Yorkshire and The Humber,North Lincolnshire,DN39 6XF
,Drive through centre,SRID=4326;POINT (-1.790969573180694 51.21701225163237),United Kingdom,South West (England),Wiltshire,SP4 8LF
,Other,SRID=4326;POINT (-6.900549007103614 55.01909526328202),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT49 0NH
,Drive through centre,SRID=4326;POINT (-5.148580505731423 56.99305295537682),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-5.950908015463899 54.2260894850664),United Kingdom,Northern Ireland,"Newry, Mourne and Down",BT33 0PX
,Home,SRID=4326;POINT (-4.68176371753518 54.87997404728254),United Kingdom,Scotland,Dumfries and Galloway,DG8 0DP
,Home,SRID=4326;POINT (-1.389599264952394 51.85614383927967),United Kingdom,South East (England),Oxfordshire,OX20 1HD
,Drive through centre,SRID=4326;POINT (-0.1746355903477914 51.87333472565015),United Kingdom,East of England,Hertfordshire,SG2 8UD
,Home,SRID=4326;POINT (-4.916468413145983 57.41245339066315),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-1.109010089769782 53.93849097275687),United Kingdom,Yorkshire and The Humber,York,YO24 1LR
,Other,SRID=4326;POINT (-3.656071804793629 50.82410408471017),United Kingdom,South West (England),Devon,EX17 4BT
,Drive through centre,SRID=4326;POINT (-5.460221523280866 57.26501262503519),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-5.162597229894805 57.22603476268089),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-4.117457620462506 57.27160183500812),United Kingdom,Scotland,Highland,IV13 7YB
,Other,SRID=4326;POINT (-2.516253889251176 52.07748449994711),United Kingdom,West Midlands (England),"Herefordshire, County of",HR8 2RY
,Other,SRID=4326;POINT (0.420005059297063 51.50725797725413),United Kingdom,East of England,Thurrock,SS17 0FY
,GP clinic,SRID=4326;POINT (-1.040519204527151 54.29455321770982),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO62 7TF
,Hospital,SRID=4326;POINT (-3.801007881115284 55.99667702816659),United Kingdom,Scotland,Falkirk,FK1 5HU
,Home,SRID=4326;POINT (-2.111941426562827 53.83093635225234),United Kingdom,North West (England),Lancashire,BB8 8ST
,GP clinic,SRID=4326;POINT (-2.95563158922385 56.58518556005756),United Kingdom,Scotland,Angus,DD8 1TY
,Hospital,SRID=4326;POINT (-4.020279965899801 51.9519443161315),United Kingdom,Wales,Carmarthenshire,SA19 7EH
,Home,SRID=4326;POINT (-4.876330190157242 58.55583476857241),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-2.758549984865077 57.32830774173792),United Kingdom,Scotland,Aberdeenshire,AB54 4NU
,Drive through centre,SRID=4326;POINT (-3.329443465299638 52.63857622248919),United Kingdom,Wales,Powys,SY21 0BY
,Drive through centre,SRID=4326;POINT (-5.489625045055821 57.27731730437743),United Kingdom,Scotland,Highland,IV40 8EW
,Drive through centre,SRID=4326;POINT (-2.016868785179928 53.79235645769262),United Kingdom,Yorkshire and The Humber,Calderdale,HX7 8RP
,Home,SRID=4326;POINT (-4.236829301918005 58.26602068109739),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-0.8402046510998362 51.45776907824235),United Kingdom,South East (England),Wokingham,RG10 0RL
,Hospital,SRID=4326;POINT (-4.129066070115544 51.62469323565804),United Kingdom,Wales,Swansea,SA4 3TL
,GP clinic,SRID=4326;POINT (-5.103435032191619 56.37678131658338),United Kingdom,Scotland,Argyll and Bute,PA35 1HE
,Drive through centre,SRID=4326;POINT (-1.189053263516636 54.03691733391173),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO30 1AX
,Home,SRID=4326;POINT (-3.904188383801166 50.99039406921385),United Kingdom,South West (England),Devon,EX37 9DJ
,GP clinic,SRID=4326;POINT (-0.8643935208201379 53.13976143595202),United Kingdom,East Midlands (England),Nottinghamshire,NG23 6LB
,Home,SRID=4326;POINT (-3.733057486701584 51.73398451332186),United Kingdom,Wales,Neath Port Talbot,SA10 8PE
,Home,SRID=4326;POINT (-7.263096909628388 54.44537774394037),United Kingdom,Northern Ireland,Mid Ulster,BT75 0WA
,Home,SRID=4326;POINT (-0.0831579375521212 50.89247683983216),United Kingdom,South East (England),East Sussex,BN6 8RP
,Drive through centre,SRID=4326;POINT (-6.436215418591455 58.37313592364208),United Kingdom,Scotland,Na h-Eileanan Siar,
,Hospital,SRID=4326;POINT (-6.544715775915302 54.90027480243825),United Kingdom,Northern Ireland,Mid Ulster,BT46 5XL
,Other,SRID=4326;POINT (0.9212184366352965 51.01195613068892),United Kingdom,South East (England),Kent,TN29 0DF
,GP clinic,SRID=4326;POINT (-4.317552950574216 55.20242336064733),United Kingdom,Scotland,Dumfries and Galloway,
,Drive through centre,SRID=4326;POINT (-4.336141872825586 55.14820583092224),United Kingdom,Scotland,Dumfries and Galloway,
,Other,SRID=4326;POINT (-5.393670498788001 56.83106418684947),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-0.9569308908285743 51.26628633038969),United Kingdom,South East (England),Hampshire,RG29 1HD
,Home,SRID=4326;POINT (1.531056308833502 52.20486673954188),United Kingdom,East of England,Suffolk,IP17 1TJ
,GP clinic,SRID=4326;POINT (-3.118372812284188 55.63936740794751),United Kingdom,Scotland,Scottish Borders,EH45 8NE
,Other,SRID=4326;POINT (-5.273523787117368 58.14906008622817),United Kingdom,Scotland,,IV27 4LP
,GP clinic,SRID=4326;POINT (-1.500437297896571 54.30008292586695),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL7 9TR
,Drive through centre,SRID=4326;POINT (-2.977055571128956 56.7550304026975),United Kingdom,Scotland,Angus,DD8 4NE
,Drive through centre,SRID=4326;POINT (0.41802176480215 51.87323698414561),United Kingdom,East of England,Essex,CM6 3AH
,Drive through centre,SRID=4326;POINT (-2.866717625327616 51.87555715307471),United Kingdom,Wales,Monmouthshire,NP7 8PL
,Other,SRID=4326;POINT (-6.911955452295331 57.95350926317612),United Kingdom,Scotland,Na h-Eileanan Siar,HS3 3AW
,Drive through centre,SRID=4326;POINT (-7.971432262554409 54.52264951150202),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT93 2AT
,Home,SRID=4326;POINT (-2.63749599345782 53.09036078334555),United Kingdom,North West (England),Cheshire East,CW6 9RS
,Drive through centre,SRID=4326;POINT (-3.126802700507811 58.57383089177782),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-2.66046550383491 54.34261202610865),United Kingdom,North West (England),Cumbria,LA8 0DF
,Drive through centre,SRID=4326;POINT (-3.136833888266716 52.17273586436064),United Kingdom,Wales,Powys,HR5 3PL
,Hospital,SRID=4326;POINT (-2.940164812234197 54.82941567928791),United Kingdom,North West (England),Cumbria,CA5 7AZ
,Hospital,SRID=4326;POINT (-2.989043999552806 56.86981894500288),United Kingdom,Scotland,Angus,
,Hospital,SRID=4326;POINT (-1.811905122355906 53.75804064128342),United Kingdom,Yorkshire and The Humber,Calderdale,HX3 7PT
,Hospital,SRID=4326;POINT (-2.200295795508148 52.51001682925216),United Kingdom,West Midlands (England),Staffordshire,DY3 4NX
,Home,SRID=4326;POINT (-1.775346463478166 51.07839740715866),United Kingdom,South West (England),Wiltshire,SP1 1QR
,Other,SRID=4326;POINT (-2.080782612549616 51.22023989462742),United Kingdom,South West (England),Wiltshire,
,Other,SRID=4326;POINT (-2.511875003117138 52.82883527809468),United Kingdom,West Midlands (England),Shropshire,TF9 2BT
,Other,SRID=4326;POINT (-1.597101184723797 53.41084678729435),United Kingdom,Yorkshire and The Humber,Sheffield,S6 6HA
,Home,SRID=4326;POINT (-5.56068859615861 57.41101349100269),United Kingdom,Scotland,Highland,IV54 8XG
,Home,SRID=4326;POINT (-3.618788785815921 50.40837771481734),United Kingdom,South West (England),Devon,TQ9 6GD
,Hospital,SRID=4326;POINT (-4.672333399796298 52.83578342330713),United Kingdom,Wales,Gwynedd,LL53 8HN
,Drive through centre,SRID=4326;POINT (-0.7808865277437409 52.53918275025291),United Kingdom,East Midlands (England),Leicestershire,LE16 8EF
,Home,SRID=4326;POINT (1.36748945585687 52.32363917521918),United Kingdom,East of England,Suffolk,IP19 0QQ
,GP clinic,SRID=4326;POINT (-0.1945391617319006 51.43158118988747),United Kingdom,London,Merton,SW19 8HJ
,Hospital,SRID=4326;POINT (-3.303908008885418 56.90825708805961),United Kingdom,Scotland,Aberdeenshire,
,GP clinic,SRID=4326;POINT (-0.5512469378640796 51.81300055084507),United Kingdom,East of England,Hertfordshire,HP4 1NZ
,Hospital,SRID=4326;POINT (-4.143715612835615 58.42073682285344),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-3.215535772753671 55.76908481584646),United Kingdom,Scotland,Scottish Borders,EH45 8FF
,Drive through centre,SRID=4326;POINT (-1.980823237004237 52.72471644942274),United Kingdom,West Midlands (England),Staffordshire,WS12 0QU
,Drive through centre,SRID=4326;POINT (-2.112960266944701 54.85327598954673),United Kingdom,North East (England),Northumberland,NE47 0JD
,Other,SRID=4326;POINT (-2.804585394000318 54.73271137412195),United Kingdom,North West (England),Cumbria,CA11 9PN
,Other,SRID=4326;POINT (-2.244055600708225 50.73332368245632),United Kingdom,South West (England),Dorset,BH20 7NH
,Drive through centre,SRID=4326;POINT (-2.143605860736161 53.54130702977757),United Kingdom,North West (England),Oldham,OL9 9HA
,Drive through centre,SRID=4326;POINT (-5.155961064482528 55.52586664797278),United Kingdom,Scotland,North Ayrshire,KA27 8NT
,Hospital,SRID=4326;POINT (-0.1446881472126158 52.56531150482712),United Kingdom,East of England,Cambridgeshire,PE7 1PF
,Home,SRID=4326;POINT (-3.045507852232517 50.76831539534759),United Kingdom,South West (England),Devon,EX13 7NZ
,Home,SRID=4326;POINT (-0.005087480252006671 53.4069035742742),United Kingdom,East Midlands (England),Lincolnshire,LN11 0UU
,Other,SRID=4326;POINT (-2.569084039268187 50.82256083165571),United Kingdom,South West (England),Dorset,DT2 0HF
,Hospital,SRID=4326;POINT (-4.105502162085551 57.28927868005724),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-4.712493159014739 55.03502962774085),United Kingdom,Scotland,Dumfries and Galloway,
,GP clinic,SRID=4326;POINT (-3.374552591421527 51.05570372062802),United Kingdom,South West (England),Somerset,TA4 2HG
,Other,SRID=4326;POINT (-0.9164009420975772 53.77309516023519),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO8 6EP
,Drive through centre,SRID=4326;POINT (-1.919961936332066 54.98753070474807),United Kingdom,North East (England),Northumberland,NE43 7UU
,Drive through centre,SRID=4326;POINT (-6.976963513181079 58.00419298990507),United Kingdom,Scotland,Na h-Eileanan Siar,
,Home,SRID=4326;POINT (-1.397307322570249 51.70957793092484),United Kingdom,South East (England),Oxfordshire,OX29 5SY
,Home,SRID=4326;POINT (-0.204631070861967 51.03977398629384),United Kingdom,South East (England),West Sussex,RH17 6AQ
,Other,SRID=4326;POINT (-4.546555537464151 58.47703771857403),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-2.519158834769353 54.88891456969075),United Kingdom,North East (England),Northumberland,CA8 7PE
,Hospital,SRID=4326;POINT (-4.717326568892428 55.22575258859015),United Kingdom,Scotland,South Ayrshire,KA26 9TU
,GP clinic,SRID=4326;POINT (-3.342493179597935 52.86089425266233),United Kingdom,Wales,Powys,SY10 0BZ
,Drive through centre,SRID=4326;POINT (-1.380744178441843 53.76530748157084),United Kingdom,Yorkshire and The Humber,Leeds,LS25 7RX
,Other,SRID=4326;POINT (0.2368537794914278 52.10674817639428),United Kingdom,East of England,Cambridgeshire,CB21 6AQ
,GP clinic,SRID=4326;POINT (0.4943308863544509 52.43161072187819),United Kingdom,East of England,Suffolk,IP27 9LN
,Home,SRID=4326;POINT (-5.018389712124399 50.17130216779812),United Kingdom,South West (England),Cornwall,TR2 5AB
,Other,SRID=4326;POINT (-1.412807406861699 51.12021601358916),United Kingdom,South East (England),Hampshire,SO20 6BU
,Home,SRID=4326;POINT (-0.8651653970450495 52.10277564155778),United Kingdom,South East (England),Milton Keynes,MK19 7HJ
,Home,SRID=4326;POINT (-3.648184965623524 55.4093502567023),United Kingdom,Scotland,South Lanarkshire,ML12 6RL
,Hospital,SRID=4326;POINT (-1.808629963863665 51.98637796013873),United Kingdom,South West (England),Gloucestershire,GL56 9TQ
,Home,SRID=4326;POINT (-1.821529533769921 55.19152317904316),United Kingdom,North East (England),Northumberland,NE61 4NN
,Hospital,SRID=4326;POINT (-2.514351503680096 55.7827775855264),United Kingdom,Scotland,Scottish Borders,TD11 3PG
,Other,SRID=4326;POINT (-0.8377381256006062 53.54546243610271),United Kingdom,Yorkshire and The Humber,North Lincolnshire,DN9 1PF
,Home,SRID=4326;POINT (-3.996999025613929 55.32243234698496),United Kingdom,Scotland,Dumfries and Galloway,DG3 4NL
,Drive through centre,SRID=4326;POINT (-3.375889281421137 55.61224347324253),United Kingdom,Scotland,Scottish Borders,ML12 6HH
,Hospital,SRID=4326;POINT (-4.088439331148723 57.33766253467154),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-0.1359939446615748 52.22701021144591),United Kingdom,East of England,Cambridgeshire,PE19 6TF
,Hospital,SRID=4326;POINT (-2.112303621343489 52.04743672724842),United Kingdom,West Midlands (England),Worcestershire,GL20 7HD
,Home,SRID=4326;POINT (-5.796474656887159 54.50521929778201),United Kingdom,Northern Ireland,Ards and North Down,BT23 6LS
,Home,SRID=4326;POINT (-4.500797419765986 54.97973994117292),United Kingdom,Scotland,Dumfries and Galloway,DG8 6SL
,GP clinic,SRID=4326;POINT (-3.207302190311406 58.57024312530331),United Kingdom,Scotland,Highland,KW1 4UG
,Drive through centre,SRID=4326;POINT (-4.968613555620397 56.02001983626219),United Kingdom,Scotland,Argyll and Bute,PA23 8QU
,Drive through centre,SRID=4326;POINT (-2.311481322214933 53.72335516274718),United Kingdom,North West (England),Lancashire,BB5 2DX
,Home,SRID=4326;POINT (-4.223221872507541 52.08468084715162),United Kingdom,Wales,Ceredigion,SA40 9XG
,Drive through centre,SRID=4326;POINT (-4.052840425063598 58.42423200999949),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-1.260013879016673 53.02834492297997),United Kingdom,East Midlands (England),Nottinghamshire,NG16 1HW
,Home,SRID=4326;POINT (-0.2171129067426252 51.6879849818865),United Kingdom,East of England,Hertfordshire,EN6 3QQ
,Hospital,SRID=4326;POINT (-5.724965316909278 56.67122184587466),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-2.465635003675095 57.24641976319697),United Kingdom,Scotland,Aberdeenshire,AB51 5LX
,Home,SRID=4326;POINT (-6.163058021033828 56.3608441249684),United Kingdom,,,
